API Well Number,County,Company Name,API Hole Number,Sidetrack Code,Completion Code,Well Type Code,Production Field,Well Status Code,Well Name,Town,Producing Formation,Months in Production,"Gas Produced, Mcf","Water Produced, bbl","Oil Produced, bbl",Reporting Year,New Georeferenced Column
31003110650000,Allegany,"Sandstone Oil & Gas Development, LLC",11065,00,00,OD,Richburg,AC,Slade Lot 29 D-34,Genesee,Richburg,8,0,17,11,2018,"Genesee, NY (42.02693, -78.205893)"
31003110720000,Allegany,"Plants and Goodwin, Inc.",11072,00,00,OD,Beech Hill-Independence,AC,Forsythe 13,Independence,Fulmer Valley,12,73,0,0,2018,"Independence, NY (42.088045, -77.781386)"
31003110880000,Allegany,"Zlomek, John",11088,00,00,OD,Richburg,AC,Vossler 0-3,Alma,Richburg,1,0,0,1,2018,"Alma, NY (42.012207, -78.060759)"
31003110890000,Allegany,"Zlomek, John",11089,00,00,OD,Richburg,AC,Vossler 0-4,Alma,Richburg,1,0,0,1,2018,"Alma, NY (42.012207, -78.060759)"
31003111040000,Allegany,Richardson Petroleum Corp.,11104,00,00,OD,Beech Hill-Independence,AC,Potter 12 (Old),Independence,Fulmer Valley,12,35,1,1,2018,"Independence, NY (42.088045, -77.781386)"
31003111340000,Allegany,"Plants and Goodwin, Inc.",11134,00,00,OD,Beech Hill-Independence,AC,Forsythe 14,Independence,Fulmer Valley,12,73,0,0,2018,"Independence, NY (42.088045, -77.781386)"
31003111560000,Allegany,Klein Oil & Logging,11156,00,00,OD,Beech Hill-Independence,AC,Austin-Bayard 44,Independence,Fulmer Valley,6,1,1,5,2018,"Independence, NY (42.088045, -77.781386)"
31003111580000,Allegany,"Zlomek, John",11158,00,00,OD,Richburg,AC,Vossler 0w-6,Alma,Richburg,1,0,0,1,2018,"Alma, NY (42.012207, -78.060759)"
31003112040000,Allegany,Klein Oil & Logging,11204,00,00,OD,Beech Hill-Independence,AC,Austin '40' 8,Independence,Fulmer Valley,12,1,10,67,2018,"Independence, NY (42.088045, -77.781386)"
31003113000000,Allegany,Richardson Petroleum Corp.,11300,00,00,OD,Beech Hill-Independence,AC,48 Quintette-Bledsoe,Independence,Fulmer Valley,12,56,1,3,2018,"Independence, NY (42.088045, -77.781386)"
31003113010000,Allegany,Richardson Petroleum Corp.,11301,00,00,OD,Beech Hill-Independence,AC,17 Quintette-Stillma,Independence,Fulmer Valley,12,55,1,3,2018,"Independence, NY (42.088045, -77.781386)"
31003113570000,Allegany,Estate of James Robert Wells,11357,00,00,OD,Richburg,AC,8-79 63t79t,Alma,Richburg,1,0,0,2,2018,"Alma, NY (42.012207, -78.060759)"
31003113900000,Allegany,Richardson Petroleum Corp.,11390,00,00,OD,Beech Hill-Independence,AC,Bledsoe 49,Independence,Fulmer Valley,12,55,1,3,2018,"Independence, NY (42.088045, -77.781386)"
31003113920000,Allegany,"Simon of Bolivar Enterprises, Inc.",11392,00,00,OD,Richburg,AC,Wheeler 47 (P47),Bolivar,Richburg,12,0,20,2,2018,"Bolivar, NY (42.066701, -78.167667)"
31003114420000,Allegany,Richardson Petroleum Corp.,11442,00,00,OD,Beech Hill-Independence,AC,20 Norton-Clark,Independence,Fulmer Valley,12,81,2,27,2018,"Independence, NY (42.088045, -77.781386)"
31003114940000,Allegany,Richardson Petroleum Corp.,11494,00,00,OD,Beech Hill-Independence,AC,21 Norton-Clark,Independence,Fulmer Valley,12,81,2,27,2018,"Independence, NY (42.088045, -77.781386)"
