New Georeferenced Column
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Alma, NY (42.012207, -78.060759)
Andover, NY (42.156405, -77.795231)
Genesee, NY (42.02693, -78.205893)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Alma, NY (42.012207, -78.060759)
Genesee, NY (42.02693, -78.205893)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Alma, NY (42.012207, -78.060759)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Alma, NY (42.012207, -78.060759)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Willing, NY (42.085346, -77.922864)
Willing, NY (42.085346, -77.922864)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Willing, NY (42.085346, -77.922864)
Willing, NY (42.085346, -77.922864)
Andover, NY (42.156405, -77.795231)
Alma, NY (42.012207, -78.060759)
Independence, NY (42.088045, -77.781386)
Bolivar, NY (42.066701, -78.167667)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Genesee, NY (42.02693, -78.205893)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Bolivar, NY (42.066701, -78.167667)
Independence, NY (42.088045, -77.781386)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Bolivar, NY (42.066701, -78.167667)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Bolivar, NY (42.066701, -78.167667)
Genesee, NY (42.02693, -78.205893)
Independence, NY (42.088045, -77.781386)
Bolivar, NY (42.066701, -78.167667)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Bolivar, NY (42.066701, -78.167667)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Almond, NY (42.321354, -77.737058)
Alma, NY (42.012207, -78.060759)
Wirt, NY (42.137408, -78.150594)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Alma, NY (42.012207, -78.060759)
Andover, NY (42.156405, -77.795231)
Genesee, NY (42.02693, -78.205893)
Andover, NY (42.156405, -77.795231)
Alma, NY (42.012207, -78.060759)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Andover, NY (42.156405, -77.795231)
Independence, NY (42.088045, -77.781386)
Genesee, NY (42.02693, -78.205893)
Independence, NY (42.088045, -77.781386)
Genesee, NY (42.02693, -78.205893)
Andover, NY (42.156405, -77.795231)
Andover, NY (42.156405, -77.795231)
Bolivar, NY (42.066701, -78.167667)
Genesee, NY (42.02693, -78.205893)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Alma, NY (42.012207, -78.060759)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Independence, NY (42.088045, -77.781386)
Bolivar, NY (42.066701, -78.167667)
Independence, NY (42.088045, -77.781386)
Bolivar, NY (42.066701, -78.167667)
Alma, NY (42.012207, -78.060759)
Bolivar, NY (42.066701, -78.167667)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Bolivar, NY (42.066701, -78.167667)
Alma, NY (42.012207, -78.060759)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Independence, NY (42.088045, -77.781386)
Genesee, NY (42.02693, -78.205893)
Independence, NY (42.088045, -77.781386)
Alma, NY (42.012207, -78.060759)
Bolivar, NY (42.066701, -78.167667)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Alma, NY (42.012207, -78.060759)
Independence, NY (42.088045, -77.781386)
Independence, NY (42.088045, -77.781386)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Genesee, NY (42.02693, -78.205893)
Bolivar, NY (42.066701, -78.167667)
Rushford, NY (42.38858, -78.253057)
Independence, NY (42.088045, -77.781386)
Bolivar, NY (42.066701, -78.167667)
Bolivar, NY (42.066701, -78.167667)
Genesee, NY (42.02693, -78.205893)
Genesee, NY (42.02693, -78.205893)
Genesee, NY (42.02693, -78.205893)
